reports,event_date
25,12/2/2018
19,12/3/2018
19,12/4/2018
19,12/5/2018
13,12/6/2018
20,12/7/2018
19,12/8/2018
14,12/9/2018
23,12/10/2018
18,12/11/2018
22,12/12/2018
21,12/13/2018
28,12/14/2018
33,12/15/2018
28,12/16/2018
17,12/17/2018
14,12/18/2018
24,12/19/2018
16,12/20/2018
19,12/21/2018
23,12/22/2018
22,12/23/2018
15,12/24/2018
15,12/25/2018
25,12/26/2018
16,12/27/2018
23,12/28/2018
17,12/29/2018
18,12/30/2018
12,12/31/2018
34,1/1/2019
28,1/2/2019
13,1/3/2019
24,1/4/2019
25,1/5/2019
12,1/6/2019
27,1/7/2019
21,1/8/2019
19,1/9/2019
17,1/10/2019
19,1/11/2019
15,1/12/2019
8,1/13/2019
16,1/14/2019
11,1/15/2019
16,1/16/2019
12,1/17/2019
17,1/18/2019
15,1/19/2019
19,1/20/2019
13,1/21/2019
10,1/22/2019
6,1/23/2019
20,1/24/2019
16,1/25/2019
12,1/26/2019
15,1/27/2019
11,1/28/2019
10,1/29/2019
7,1/30/2019
14,1/31/2019
14,2/1/2019
10,2/2/2019
10,2/3/2019
18,2/4/2019
20,2/5/2019
9,2/6/2019
19,2/7/2019
14,2/8/2019
20,2/9/2019
21,2/10/2019
11,2/11/2019
8,2/12/2019
15,2/13/2019
27,2/14/2019
15,2/15/2019
21,2/16/2019
11,2/17/2019
10,2/18/2019
15,2/19/2019
17,2/20/2019
18,2/21/2019
16,2/22/2019
17,2/23/2019
19,2/24/2019
12,2/25/2019
12,2/26/2019
23,2/27/2019
22,2/28/2019
14,3/1/2019
19,3/2/2019
5,3/3/2019
22,3/4/2019
14,3/5/2019
25,3/6/2019
14,3/7/2019
18,3/8/2019
23,3/9/2019
18,3/10/2019
17,3/11/2019
21,3/12/2019
13,3/13/2019
10,3/14/2019
19,3/15/2019
16,3/16/2019
15,3/17/2019
20,3/18/2019
23,3/19/2019
16,3/20/2019
16,3/21/2019
17,3/22/2019
40,3/23/2019
21,3/24/2019
24,3/25/2019
16,3/26/2019
31,3/27/2019
18,3/28/2019
16,3/29/2019
19,3/30/2019
21,3/31/2019
16,4/1/2019
23,4/2/2019
27,4/3/2019
24,4/4/2019
20,4/5/2019
23,4/6/2019
22,4/7/2019
27,4/8/2019
30,4/9/2019
26,4/10/2019
29,4/11/2019
23,4/12/2019
20,4/13/2019
40,4/14/2019
23,4/15/2019
26,4/16/2019
27,4/17/2019
36,4/18/2019
16,4/19/2019
23,4/20/2019
27,4/21/2019
25,4/22/2019
25,4/23/2019
27,4/24/2019
23,4/25/2019
24,4/26/2019
25,4/27/2019
23,4/28/2019
21,4/29/2019
21,4/30/2019
34,5/1/2019
18,5/2/2019
23,5/3/2019
19,5/4/2019
31,5/5/2019
27,5/6/2019
10,5/7/2019
30,5/8/2019
16,5/9/2019
22,5/10/2019
30,5/11/2019
13,5/12/2019
19,5/13/2019
22,5/14/2019
36,5/15/2019
21,5/16/2019
21,5/17/2019
40,5/18/2019
26,5/19/2019
29,5/20/2019
28,5/21/2019
24,5/22/2019
12,5/23/2019
35,5/24/2019
28,5/25/2019
29,5/26/2019
22,5/27/2019
32,5/28/2019
20,5/29/2019
22,5/30/2019
35,5/31/2019
33,6/1/2019
18,6/2/2019
33,6/3/2019
22,6/4/2019
24,6/5/2019
17,6/6/2019
28,6/7/2019
23,6/8/2019
24,6/9/2019
30,6/10/2019
22,6/11/2019
21,6/12/2019
23,6/13/2019
28,6/14/2019
28,6/15/2019
32,6/16/2019
20,6/17/2019
27,6/18/2019
19,6/19/2019
19,6/20/2019
26,6/21/2019
32,6/22/2019
27,6/23/2019
13,6/24/2019
27,6/25/2019
16,6/26/2019
24,6/27/2019
25,6/28/2019
30,6/29/2019
29,6/30/2019
46,7/1/2019
35,7/2/2019
43,7/3/2019
30,7/4/2019
36,7/5/2019
38,7/6/2019
26,7/7/2019
26,7/8/2019
22,7/9/2019
28,7/10/2019
29,7/11/2019
25,7/12/2019
18,7/13/2019
35,7/14/2019
25,7/15/2019
29,7/16/2019
22,7/17/2019
26,7/18/2019
18,7/19/2019
22,7/20/2019
17,7/21/2019
33,7/22/2019
27,7/23/2019
34,7/24/2019
24,7/25/2019
30,7/26/2019
28,7/27/2019
24,7/28/2019
22,7/29/2019
27,7/30/2019
26,7/31/2019
33,8/1/2019
24,8/2/2019
30,8/3/2019
37,8/4/2019
24,8/5/2019
26,8/6/2019
21,8/7/2019
27,8/8/2019
25,8/9/2019
34,8/10/2019
26,8/11/2019
21,8/12/2019
14,8/13/2019
14,8/14/2019
28,8/15/2019
26,8/16/2019
25,8/17/2019
17,8/18/2019
26,8/19/2019
23,8/20/2019
20,8/21/2019
20,8/22/2019
23,8/23/2019
21,8/24/2019
28,8/25/2019
21,8/26/2019
18,8/27/2019
18,8/28/2019
36,8/29/2019
34,8/30/2019
27,8/31/2019
28,9/1/2019
32,9/2/2019
15,9/3/2019
19,9/4/2019
31,9/5/2019
30,9/6/2019
23,9/7/2019
27,9/8/2019
27,9/9/2019
18,9/10/2019
25,9/11/2019
26,9/12/2019
22,9/13/2019
26,9/14/2019
26,9/15/2019
16,9/16/2019
21,9/17/2019
18,9/18/2019
27,9/19/2019
26,9/20/2019
17,9/21/2019
26,9/22/2019
31,9/23/2019
28,9/24/2019
26,9/25/2019
31,9/26/2019
32,9/27/2019
33,9/28/2019
14,9/29/2019
17,9/30/2019
32,10/1/2019
26,10/2/2019
25,10/3/2019
29,10/4/2019
35,10/5/2019
23,10/6/2019
28,10/7/2019
30,10/8/2019
24,10/9/2019
23,10/10/2019
28,10/11/2019
26,10/12/2019
32,10/13/2019
31,10/14/2019
27,10/15/2019
23,10/16/2019
25,10/17/2019
