reports,event_date
243,12/2/2018
235,12/3/2018
217,12/4/2018
231,12/5/2018
198,12/6/2018
210,12/7/2018
227,12/8/2018
191,12/9/2018
255,12/10/2018
233,12/11/2018
232,12/12/2018
224,12/13/2018
252,12/14/2018
254,12/15/2018
251,12/16/2018
230,12/17/2018
203,12/18/2018
234,12/19/2018
214,12/20/2018
230,12/21/2018
286,12/22/2018
238,12/23/2018
291,12/24/2018
236,12/25/2018
269,12/26/2018
256,12/27/2018
213,12/28/2018
259,12/29/2018
251,12/30/2018
293,12/31/2018
399,1/1/2019
293,1/2/2019
269,1/3/2019
311,1/4/2019
284,1/5/2019
234,1/6/2019
278,1/7/2019
232,1/8/2019
247,1/9/2019
208,1/10/2019
218,1/11/2019
246,1/12/2019
196,1/13/2019
210,1/14/2019
184,1/15/2019
172,1/16/2019
211,1/17/2019
237,1/18/2019
191,1/19/2019
203,1/20/2019
215,1/21/2019
192,1/22/2019
171,1/23/2019
194,1/24/2019
196,1/25/2019
196,1/26/2019
171,1/27/2019
177,1/28/2019
175,1/29/2019
164,1/30/2019
158,1/31/2019
199,2/1/2019
215,2/2/2019
227,2/3/2019
193,2/4/2019
205,2/5/2019
159,2/6/2019
173,2/7/2019
214,2/8/2019
212,2/9/2019
209,2/10/2019
166,2/11/2019
163,2/12/2019
162,2/13/2019
193,2/14/2019
191,2/15/2019
202,2/16/2019
158,2/17/2019
196,2/18/2019
160,2/19/2019
188,2/20/2019
156,2/21/2019
200,2/22/2019
197,2/23/2019
192,2/24/2019
187,2/25/2019
173,2/26/2019
181,2/27/2019
172,2/28/2019
239,3/1/2019
213,3/2/2019
194,3/3/2019
184,3/4/2019
172,3/5/2019
160,3/6/2019
183,3/7/2019
212,3/8/2019
209,3/9/2019
203,3/10/2019
203,3/11/2019
200,3/12/2019
185,3/13/2019
201,3/14/2019
254,3/15/2019
236,3/16/2019
244,3/17/2019
220,3/18/2019
226,3/19/2019
227,3/20/2019
199,3/21/2019
254,3/22/2019
259,3/23/2019
228,3/24/2019
192,3/25/2019
214,3/26/2019
207,3/27/2019
